Subject;Gender;Chocolate;Distance
1;male;without;7.961963926
1;male;with;7.965392443
2;male;without;8.411318284
2;male;with;8.41990093
3;male;without;6.947816058
3;male;with;6.966307348
4;male;without;8.064937106
4;male;with;8.083453015
5;male;without;7.877790694
5;male;with;7.886107236
6;male;without;7.283228948
6;male;with;7.304384677
7;male;without;7.608806525
7;male;with;7.616520935
8;male;without;7.890738439
8;male;with;7.88392995
9;male;without;9.065341776
9;male;with;9.056599522
10;male;without;8.755056095
10;male;with;8.765536784
11;male;without;7.252657149
11;male;with;7.278720588
12;male;without;8.84417656
12;male;with;8.879393484
13;male;without;8.034691464
13;male;with;8.022388228
14;male;without;7.726578693
14;male;with;7.742462095
15;male;without;8.026916984
15;male;with;8.0201874
16;male;without;7.687452717
16;male;with;7.684470096
17;male;without;7.729675001
17;male;with;7.723385639
18;male;without;8.276682139
18;male;with;8.303550437
19;male;without;8.265275434
19;male;with;8.292553141
20;male;without;8.258110814
20;male;with;8.277699021
21;male;without;8.030819048
21;male;with;8.001096834
22;male;without;7.333556897
22;male;with;7.351339281
23;male;without;8.031995634
23;male;with;8.040552706
24;male;without;8.336302902
24;male;with;8.35458844
25;male;without;7.931315602
25;male;with;7.93094016
26;male;without;8.129764789
26;male;with;8.138043205
27;male;without;8.032662894
27;male;with;8.030119238
28;male;without;7.647982548
28;male;with;7.66352195
29;male;without;7.872809143
29;male;with;7.873182092
30;male;without;7.456060028
30;male;with;7.49101241
31;male;without;8.076283927
31;male;with;8.09374137
32;male;without;7.338818896
32;male;with;7.344547972
33;male;without;7.359436065
33;male;with;7.375727026
34;male;without;7.473660217
34;male;with;7.471169409
35;male;without;6.702877542
35;male;with;6.704979526
36;male;without;8.278151704
36;male;with;8.28461115
37;male;without;7.863731815
37;male;with;7.887193285
38;male;without;7.499500728
38;male;with;7.467934032
39;male;without;8.256809269
39;male;with;8.258737328
40;male;without;7.140863429
40;male;with;7.166278573
41;male;without;7.723421617
41;male;with;7.722525705
42;male;without;7.670459111
42;male;with;7.692416347
43;male;without;7.857412302
43;male;with;7.888417636
44;male;without;7.869772585
44;male;with;7.882339037
45;male;without;7.440329565
45;male;with;7.460467751
46;male;without;7.73938947
46;male;with;7.743530973
47;male;without;7.689079537
47;male;with;7.709798158
48;male;without;7.980639052
48;male;with;8.012014087
49;male;without;8.133549283
49;male;with;8.164559119
50;male;without;8.168980681
50;male;with;8.169752123
51;male;without;7.454285585
51;male;with;7.451743293
52;male;without;7.787648994
52;male;with;7.797541136
53;male;without;7.322570153
53;male;with;7.335241334
54;male;without;7.351158097
54;male;with;7.373403609
55;male;without;7.767721095
55;male;with;7.763806154
56;male;without;8.310414736
56;male;with;8.319382365
57;male;without;7.475774969
57;male;with;7.51315718
58;male;without;7.90721023
58;male;with;7.881112833
59;male;without;7.676541905
59;male;with;7.711084072
