Subject;Chocolate;Gender;Distance
"1";"no";"male";7.961963926
"1";"yes";"male";7.965392443
"2";"no";"male";8.411318284
"2";"yes";"male";8.41990093
"3";"no";"male";6.947816058
"3";"yes";"male";6.966307348
"4";"no";"male";8.064937106
"4";"yes";"male";8.083453015
"5";"no";"male";7.877790694
"5";"yes";"male";7.886107236
"6";"no";"male";7.283228948
"6";"yes";"male";7.304384677
"7";"no";"male";7.608806525
"7";"yes";"male";7.616520935
"8";"no";"male";7.890738439
"8";"yes";"male";7.88392995
"10";"no";"male";8.755056095
"10";"yes";"male";8.765536784
"11";"no";"male";7.252657149
"11";"yes";"male";7.278720588
"12";"no";"male";8.84417656
"12";"yes";"male";8.879393484
"13";"no";"male";8.034691464
"13";"yes";"male";8.022388228
"14";"no";"male";7.726578693
"14";"yes";"male";7.742462095
"15";"no";"male";8.026916984
"15";"yes";"male";8.0201874
"16";"no";"male";7.687452717
"16";"yes";"male";7.684470096
"17";"no";"male";7.729675001
"17";"yes";"male";7.723385639
"18";"no";"male";8.276682139
"18";"yes";"male";8.303550437
"19";"no";"male";8.265275434
"19";"yes";"male";8.292553141
"20";"no";"male";8.258110814
"20";"yes";"male";8.277699021
"21";"no";"male";8.030819048
"21";"yes";"male";8.001096834
"22";"no";"male";7.333556897
"22";"yes";"male";7.351339281
"23";"no";"male";8.031995634
"23";"yes";"male";8.040552706
"24";"no";"male";8.336302902
"24";"yes";"male";8.35458844
"25";"no";"male";7.931315602
"25";"yes";"male";7.93094016
"26";"no";"male";8.129764789
"26";"yes";"male";8.138043205
"27";"no";"male";8.032662894
"27";"yes";"male";8.030119238
"28";"no";"male";7.647982548
"28";"yes";"male";7.66352195
"29";"no";"male";7.872809143
"29";"yes";"male";7.873182092
"30";"no";"male";7.456060028
"30";"yes";"male";7.49101241
"31";"no";"male";8.076283927
"31";"yes";"male";8.09374137
"32";"no";"male";7.338818896
"32";"yes";"male";7.344547972
"33";"no";"male";7.359436065
"33";"yes";"male";7.375727026
"34";"no";"male";7.473660217
"34";"yes";"male";7.471169409
"35";"no";"male";6.702877542
"35";"yes";"male";6.704979526
"36";"no";"male";8.278151704
"36";"yes";"male";8.28461115
"37";"no";"male";7.863731815
"37";"yes";"male";7.887193285
"38";"no";"male";7.499500728
"38";"yes";"male";7.467934032
"39";"no";"male";8.256809269
"39";"yes";"male";8.258737328
"40";"no";"male";7.140863429
"40";"yes";"male";7.166278573
"41";"no";"male";7.723421617
"41";"yes";"male";7.722525705
"42";"no";"male";7.670459111
"42";"yes";"male";7.692416347
"43";"no";"male";7.857412302
"43";"yes";"male";7.888417636
"44";"no";"male";7.869772585
"44";"yes";"male";7.882339037
"45";"no";"male";7.440329565
