participant_id;A;B;reaction_time;reaction_timeTrans
"P01";"1";"1";150.191210063671;5.01854532755603
"P01";"1";"1";291.06628153344;5.67698076806247
"P01";"1";"1";192.443511793846;5.26498554113638
"P01";"1";"2";520.906933569019;6.25748928380546
"P01";"1";"2";262.79905107865;5.5751876431526
"P01";"1";"2";501.32010073782;6.21923756735094
"P01";"1";"3";76.0850443164765;4.34490928401616
"P01";"1";"3";753.496865917528;6.62605112434577
"P01";"1";"3";284.400396085955;5.65389309286923
"P01";"2";"1";312.484926972265;5.74775127908382
"P01";"2";"1";603.964726953217;6.40517015377451
"P01";"2";"1";361.492204733454;5.89300296987994
"P01";"2";"2";217.052513420049;5.38473592102835
"P01";"2";"2";229.772455021822;5.44143218185233
"P01";"2";"2";555.937033237205;6.3224521872843
"P01";"2";"3";475.382818434457;6.16622177141192
"P01";"2";"3";495.605814468284;6.20779658156026
"P01";"2";"3";220.864054655462;5.40206482788255
"P02";"1";"1";666.419861981629;6.50341932611063
"P02";"1";"1";251.050470453086;5.52962934703389
"P02";"1";"1";110.774587355351;4.71648423036956
"P02";"1";"2";257.360619674021;5.55435635965196
"P02";"1";"2";242.31123401041;5.49434142221472
"P02";"1";"2";678.413578465671;6.52123004149331
"P02";"1";"3";583.260416862351;6.37034680272062
"P02";"1";"3";1055.75945474166;6.96296238640632
"P02";"1";"3";459.392030297442;6.13207836631007
"P02";"2";"1";193.328361755147;5.26954931462005
"P02";"2";"1";533.408801489951;6.28116109194076
"P02";"2";"1";298.602549209134;5.70245676031559
"P02";"2";"2";500.256214928842;6.21711737740445
"P02";"2";"2";560.609754350072;6.33080722141773
"P02";"2";"2";150.617158148815;5.02135864720501
"P02";"2";"3";332.271020022652;5.80895603290654
"P02";"2";"3";559.894614004098;6.32953303405082
"P02";"2";"3";823.755233320939;6.71508665543071
"P03";"1";"1";718.222974811418;6.57817142760188
"P03";"1";"1";296.963575059391;5.69697124769022
"P03";"1";"1";126.40529119114;4.84737327438819
"P03";"1";"2";418.763634353907;6.03969177751209
"P03";"1";"2";655.28846237457;6.48660042152105
"P03";"1";"2";264.185620153948;5.58043003419435
"P03";"1";"3";1009.72429795013;6.91842247950613
"P03";"1";"3";174.916640863141;5.17001025137992
"P03";"1";"3";318.755648724704;5.76755710636922
"P03";"2";"1";371.141818001684;5.91927501281032
"P03";"2";"1";554.320973123218;6.31954627652986
"P03";"2";"1";207.165374509389;5.33833283355747
"P03";"2";"2";196.594197382975;5.28621541941182
"P03";"2";"2";556.150243323549;6.32283494022194
"P03";"2";"2";57.232278048389;4.06443980664295
"P03";"2";"3";633.969632244172;6.4535771745116
"P03";"2";"3";596.904046196129;6.39343028320989
"P03";"2";"3";351.046065762857;5.86376203568002
"P04";"1";"1";138.258703200697;4.93633337739792
"P04";"1";"1";339.531560682489;5.83050781052323
"P04";"1";"1";283.352792929241;5.6502156958577
"P04";"1";"2";346.98309593377;5.85215390369172
"P04";"1";"2";1036.51032373221;6.94457920264061
"P04";"1";"2";144.496752566534;4.98015376723212
"P04";"1";"3";431.853199392678;6.07039863909266
"P04";"1";"3";1174.85273137741;7.06974889219627
"P04";"1";"3";485.324517922318;6.18687613341689
"P04";"2";"1";214.829035467817;5.3744865918169
"P04";"2";"1";171.412351798881;5.14988900182833
"P04";"2";"1";558.567276197688;6.32716376395082
"P04";"2";"2";238.128710228889;5.47700194349531
"P04";"2";"2";91.4605628528552;4.52678220606973
"P04";"2";"2";403.533051229458;6.00273344200965
"P04";"2";"3";226.479407357428;5.42705971718388
"P04";"2";"3";533.703314004511;6.28171203981188
"P04";"2";"3";854.753795395943;6.75198271256954
"P05";"1";"1";76.8679834679956;4.35501487311894
"P05";"1";"1";469.442908195652;6.15367460882678
"P05";"1";"1";571.893255185859;6.35069940823624
"P05";"1";"2";85.2723394414278;4.45750903039124
"P05";"1";"2";172.972731633774;5.15889857218506
"P05";"1";"2";747.426760922815;6.61797335127376
"P05";"1";"3";380.697416047257;5.94462819013764
"P05";"1";"3";786.897537931391;6.66936805339766
"P05";"2";"1";561.675208250195;6.33270256691202
"P05";"2";"1";427.82219956815;6.06104237979745
"P05";"2";"1";335.880227009876;5.81972745771321
"P05";"2";"2";77.0358658946678;4.35716854016756
"P05";"2";"2";804.95024038554;6.69202200410649
"P05";"2";"2";243.237237872926;5.49814003929342
"P05";"2";"3";133.013604143566;4.8979413182572
"P05";"2";"3";372.995985499511;5.9242450633984
"P05";"2";"3";172.839948354006;5.15813503885889
"P06";"1";"1";444.480715170786;6.09915395791731
"P06";"1";"1";633.488897015869;6.45281978820838
"P06";"1";"1";280.639683263406;5.64062853503521
"P06";"1";"2";396.712582272349;5.98572958931024
"P06";"1";"2";476.606137687953;6.16878641310125
"P06";"1";"2";570.949546783077;6.34905078256482
"P06";"1";"3";560.597807329988;6.33078594837704
"P06";"1";"3";669.363819548909;6.50782057925823
"P06";"2";"1";186.807035238002;5.23541502740372
"P06";"2";"1";1026.99593591344;6.9353664926157
"P06";"2";"1";387.644608322793;5.9626653227453
"P06";"2";"2";581.919699334944;6.36804943987408
"P06";"2";"2";136.003447416004;4.92000608913199
"P06";"2";"2";388.246314960856;5.96421234364516
"P06";"2";"3";1044.41044966086;6.95216486207817
"P06";"2";"3";468.672126456011;6.15203484798063
"P06";"2";"3";287.798376660532;5.66572878602134
"P07";"1";"1";101.59237811525;4.63076364260149
"P07";"1";"1";668.120406817073;6.5059640242283
